Nombre,Ubicacion,Telefono,Fecha_Ingreso
Sin Regordimiento PANADERIA ARTESANAL,"Carrera 40 Este, Mazo, Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",3013306251,"junio 17, 2025"
Flores – Luis Eduardo,"Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",3195084514,"junio 3, 2025"
Olimpo Studio,"Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",(301) 588-5403,"junio 1, 2025"
Sander Grajales – Construcción,"Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",3233367186,"junio 1, 2025"
Creamos Silletas,"Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",3126546138,"junio 13, 2025"
Montallantas El Silletero,"Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",3215411659,"junio 3, 2025"
GSM – Reparación de celulares en El Peñol,"Centro Educativo Rur Horizontes, Vía Marinilla - El Peñol, El Peñol, Oriente, Antioquia, RAP del Agua y la Montaña, Colombia",316 768 5145,"junio 2, 2025"
Topografia y Arquitectura Civiles S.A.S,"Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",310 2537054,"junio 1, 2025"
Chivero – Edy Grajales,"Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",3225087454,"junio 1, 2025"
Franco Bioinsumos y Servicios,"Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, 050017, Colombia",3002981805,"mayo 30, 2025"
GASES LA PRIMAVERA,"Carrera 24 Este, El Plan, Santa Elena, Medellín, Valle de Aburrá, Antioquia, RAP del Agua y la Montaña, Colombia",3136712906,"mayo 28, 2025"
